,game,model,experiment,episode,metric,value
0,taboo,luminous-supreme-t0.0--luminous-supreme-t0.0,0_high_en,episode_5,Violated Request Count,1.0
1,taboo,luminous-supreme-t0.0--luminous-supreme-t0.0,0_high_en,episode_5,Parsed Request Count,0.0
2,taboo,luminous-supreme-t0.0--luminous-supreme-t0.0,0_high_en,episode_5,Request Count,1.0
3,taboo,luminous-supreme-t0.0--luminous-supreme-t0.0,0_high_en,episode_5,Request Success Ratio,0.0
4,taboo,luminous-supreme-t0.0--luminous-supreme-t0.0,0_high_en,episode_5,Aborted,1.0
5,taboo,luminous-supreme-t0.0--luminous-supreme-t0.0,0_high_en,episode_5,Success,0.0
6,taboo,luminous-supreme-t0.0--luminous-supreme-t0.0,0_high_en,episode_5,Lose,0.0
7,taboo,luminous-supreme-t0.0--luminous-supreme-t0.0,0_high_en,episode_5,Main Score,
8,taboo,luminous-supreme-t0.0--luminous-supreme-t0.0,0_high_en,episode_5,Repetition-Guesser,0.0
9,taboo,luminous-supreme-t0.0--luminous-supreme-t0.0,0_high_en,episode_5,Repetition-Describer,0.0
10,taboo,luminous-supreme-t0.0--luminous-supreme-t0.0,0_high_en,episode_2,Violated Request Count,1.0
11,taboo,luminous-supreme-t0.0--luminous-supreme-t0.0,0_high_en,episode_2,Parsed Request Count,0.0
12,taboo,luminous-supreme-t0.0--luminous-supreme-t0.0,0_high_en,episode_2,Request Count,1.0
13,taboo,luminous-supreme-t0.0--luminous-supreme-t0.0,0_high_en,episode_2,Request Success Ratio,0.0
14,taboo,luminous-supreme-t0.0--luminous-supreme-t0.0,0_high_en,episode_2,Aborted,1.0
15,taboo,luminous-supreme-t0.0--luminous-supreme-t0.0,0_high_en,episode_2,Success,0.0
16,taboo,luminous-supreme-t0.0--luminous-supreme-t0.0,0_high_en,episode_2,Lose,0.0
17,taboo,luminous-supreme-t0.0--luminous-supreme-t0.0,0_high_en,episode_2,Main Score,
18,taboo,luminous-supreme-t0.0--luminous-supreme-t0.0,0_high_en,episode_2,Repetition-Guesser,0.0
