,game,model,experiment,episode,metric,value
0,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Aborted,1.0
1,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Lose,0.0
2,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Success,0.0
3,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Request Count,4.0
4,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Parsed Request Count,1.0
5,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Violated Request Count,3.0
6,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Request Success Ratio,0.25
7,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,Main Score,
8,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,repeats guess,
9,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_4,total guess repetitions,
10,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,Aborted,0.0
11,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,Lose,1.0
12,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,Success,0.0
13,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,Request Count,10.0
14,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,Parsed Request Count,6.0
15,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,Violated Request Count,4.0
16,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,Request Success Ratio,0.6
17,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,Main Score,0.0
18,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,repeats guess,0.0
19,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_3,total guess repetitions,0.0
20,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,Aborted,0.0
21,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,Lose,1.0
22,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,Success,0.0
23,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,Request Count,10.0
24,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,Parsed Request Count,6.0
25,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,Violated Request Count,4.0
26,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,Request Success Ratio,0.6
27,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,Main Score,0.0
28,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,repeats guess,0.0
29,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_8,total guess repetitions,0.0
30,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_2,Aborted,1.0
31,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_2,Lose,0.0
32,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_2,Success,0.0
33,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_2,Request Count,4.0
34,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_2,Parsed Request Count,1.0
35,wordle,c4ai-command-r-plus-GGUF-q4-t0.0--c4ai-command-r-plus-GGUF-q4-t0.0,0_high_frequency_words_no_clue_no_critic,episode_2,Violated Request Count,3.0
