model,latency
Mistral-7B-Instruct-v0.1,0.2828647550771762
Yi-34B-Chat,1.2871676207135418
Qwen1.5-32B-Chat,0.5092292557397906
openchat_3.5,0.31728768684620245
claude-3-sonnet-20240229,1.4194860128225966
gemma-7b-it,0.6112263564356543
command-r,0.18832414914586088
SUS-Chat-34B,2.2795147610691093
gemma-1.1-2b-it,0.11925699461279377
gpt-4-0613,0.6484411465828784
Mixtral-8x22B-Instruct-v0.1,1.0759354563573893
claude-2.1,1.6836316221022505
llama-2-70b-chat-hf,4.724659620079606
sheep-duck-llama-2-70b-v1.1,5.5246079143468965
gpt-4-1106-preview,0.7767265743542743
gpt-4-0125-preview,1.0418927523113635
Qwen1.5-7B-Chat,0.38989076908838816
CodeLlama-34b-Instruct-hf,3.851887315425941
WizardLM-70b-v1.0,3.924977203883482
sheep-duck-llama-2-13b,2.9462099794520498
Mixtral-8x7B-Instruct-v0.1,0.9392967660636315
mistral-medium-2312,3.3167870515212083
codegemma-7b-it,0.3048974050865212
mistral-large-2402,0.3967416598893947
claude-3-opus-20240229,2.9558458279177846
claude-3-haiku-20240307,0.8695497396191065
tulu-2-dpo-70b,7.848597339328526
openchat-3.5-1210,0.28049827691029705
gemma-1.1-7b-it,0.17829538783454543
command-r-plus,0.3104016019283753
Llama-3-8b-Instruct,1.0531297961586112
Qwen1.5-1.8B-Chat,0.5502705450000087
vicuna-13b-v1.5,1.4753938719676507
Qwen1.5-0.5B-Chat,0.1734691393754744
Llama-3-70b-Instruct,1.2500218078139824
openchat-3.5-0106,0.29209514505566514
WizardLM-13b-v1.2,3.5654367625763044
Qwen1.5-14B-Chat,0.3728933348115367
gpt-3.5-turbo-0125,0.6829601016193744
vicuna-33b-v1.3,0.8235025152162267
