model,latency
gemma-3-27b-it,15.1304339677246
Meta-Llama-3.1-70B-Instruct,1.7009082384111163
claude-3-7-sonnet-20250219,5.26145909539807
Meta-Llama-3.1-8B-Instruct,0.6068067105998574
Llama-3.3-70B-Instruct,2.2055385308230253
aya-expanse-32b,1.1478015451650763
phi-4,1.6223152944828854
mistral-large-2411,0.826622800739713
claude-3-5-sonnet-20241022,1.4753575820123515
deepseek-v3,4.444570954978066
OLMo-2-0425-1B-Instruct,0.6838775328947349
OLMo-2-0325-32B-Instruct,2.690223796245347
gemini-2.0-flash-exp,11.008178197382888
Mistral-Small-24B-Instruct-2501,0.9855763792094911
llama-4-maverick,0.9095568529039207
deepseek-r1,81.72311320692747
Meta-Llama-3.1-405B-Instruct-Turbo,2.2480006984852268
Qwen2.5-7B-Instruct,0.6249819116495589
QwQ-32B,6.435728384464119
deepseek-v3-0324,5.217238127330949
gemma-2-9b-it,1.4270639187021543
OLMo-2-1124-13B-Instruct,1.4513794491609047
gpt-4.1-2025-04-14,0.7032808556521724
OLMo-2-1124-7B-Instruct,0.611652294590462
llama-4-scout,0.8308962191550652
o3-mini-2025-01-31,7.792291090305898
qwen-max,7.2923702939776955
Qwen2.5-Coder-7B-Instruct,0.5706543909715174
Qwen2-72B-Instruct,3.175544191727576
QwQ-32B-Preview,4.93318243193916
Qwen2.5-Coder-32B-Instruct,1.2288386659681185
Qwen2.5-72B-Instruct,2.1855672129848456
gpt-4o-2024-08-06,0.9133407796017877
