model,avg_input,avg_output,total_input (mln),total_output (mln)
Llama-3-70b-Instruct,2494,18,17.89,0.12
Yi-34B-Chat,1756,34,5.67,0.1
sheep-duck-llama-2-70b-v1.1,598,42,0.9,0.06
vicuna-13b-v1.5,3039,57,12.73,0.21
gpt-3.5-turbo-0125,2056,14,15.68,0.1
WizardLM-70b-v1.0,711,40,1.61,0.08
codegemma-7b-it,2075,21,8.94,0.08
llama-2-70b-chat-hf,981,25,2.5,0.06
command-r,919,45,1.4,0.07
Qwen1.5-7B-Chat,1387,33,3.27,0.07
Mixtral-8x7B-Instruct-v0.1,856,65,1.42,0.11
claude-3-haiku-20240307,2227,19,16.3,0.12
openchat-3.5-0106,2028,16,14.18,0.1
WizardLM-13b-v1.2,3771,31,20.33,0.15
gemma-7b-it,844,71,1.29,0.1
gpt-4-0613,2105,15,15.32,0.1
tulu-2-dpo-70b,865,56,1.54,0.09
CodeLlama-34b-Instruct-hf,543,41,0.74,0.05
openchat_3.5,2594,20,12.82,0.09
Qwen1.5-14B-Chat,721,46,1.34,0.08
Qwen1.5-1.8B-Chat,464,75,0.49,0.08
gpt-4-1106-preview,2085,17,15.55,0.12
Qwen1.5-0.5B-Chat,511,38,0.7,0.05
claude-3-sonnet-20240229,2168,16,15.33,0.1
Mistral-7B-Instruct-v0.1,1465,20,3.97,0.05
claude-3-opus-20240229,2333,19,16.2,0.12
sheep-duck-llama-2-13b,661,72,0.81,0.08
gpt-4-0125-preview,2081,19,15.85,0.13
gemma-1.1-7b-it,793,37,1.73,0.08
openchat-3.5-1210,2361,16,16.13,0.1
SUS-Chat-34B,1420,21,5.81,0.08
gemma-1.1-2b-it,521,28,0.8,0.04
mistral-medium-2312,3877,60,19.51,0.27
vicuna-33b-v1.3,705,23,1.49,0.04
Mixtral-8x22B-Instruct-v0.1,774,58,1.17,0.09
Qwen1.5-32B-Chat,1570,32,5.32,0.1
claude-2.1,2132,17,15.24,0.11
Llama-3-8b-Instruct,2502,20,18.21,0.13
command-r-plus,991,48,1.44,0.07
mistral-large-2402,2252,20,15.9,0.13
