model,avg_input,avg_output,total_input (mln),total_output (mln)
claude-instant-1.2,2072,6,13.42,0.04
Nous-Hermes-2-Mixtral-8x7B-DPO,2104,26,9.38,0.11
Yi-34B-Chat,1592,48,5.56,0.16
zephyr-7b-alpha,2014,66,6.16,0.2
vicuna-7b-v1.5,1038,17,2.82,0.05
oasst-sft-4-pythia-12b-epoch-3.5,600,32,0.93,0.05
sheep-duck-llama-2-70b-v1.1,1021,24,3.03,0.07
gpt4all-13b-snoozy,2532,86,6.53,0.21
claude-v1.3,2140,5,14.25,0.03
deepseek-llm-67b-chat,1087,17,3.08,0.05
Wizard-Vicuna-13B-Uncensored-HF,1042,28,3.04,0.08
vicuna-13b-v1.5,5434,45,28.18,0.21
gpt-3.5-turbo-1106,1833,15,9.61,0.07
WizardLM-70b-v1.0,2775,46,9.6,0.14
falcon-7b-instruct,2729,101,7.18,0.26
claude-2,2136,6,14.46,0.04
mistral-medium,5711,65,35.75,0.36
llama-2-70b-chat-hf,1346,19,5.17,0.07
gpt-4-0314,2169,13,14.84,0.08
Mixtral-8x7B-Instruct-v0.1,1827,42,7.0,0.15
openchat-3.5-0106,2223,14,14.7,0.08
deepseek-llm-7b-chat,921,23,2.51,0.06
WizardLM-13b-v1.2,3404,28,20.25,0.15
llama-2-7b-chat-hf,1092,30,2.75,0.07
gpt-4-0613,2192,14,15.22,0.09
tulu-2-dpo-70b,2213,61,7.62,0.2
CodeLlama-34b-Instruct-hf,2442,23,14.35,0.13
openchat_3.5,2367,17,15.87,0.1
gpt-4-1106-preview,2193,17,15.62,0.11
llama-2-13b-chat-hf,2692,20,11.96,0.08
Mistral-7B-Instruct-v0.1,1571,20,5.56,0.07
koala-13B-HF,1543,46,4.33,0.13
sheep-duck-llama-2-13b,4527,92,13.54,0.25
openchat-3.5-1210,2300,18,16.35,0.12
SUS-Chat-34B,1421,24,6.69,0.1
command,799,11,2.21,0.03
vicuna-33b-v1.3,1329,21,5.35,0.08
zephyr-7b-beta,2132,73,6.35,0.21
tulu-2-dpo-7b,1333,66,3.19,0.15
claude-2.1,2143,6,14.49,0.04
gpt-3.5-turbo-0613,2040,18,13.02,0.11
